Compare	Shape	Carat	Color	Clarity	Cut	Report	Origin	Price	 empty
Cushion	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.31	E	SI1	Very Good	IGI	Lab Created	$240	View
Oval	0.31	H	VVS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	E	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	E	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.31	F	VS2	Good	IGI	Lab Created	$240	View
Pear	0.31	E	SI1	Very Good	IGI	Lab Created	$240	View
Emerald	0.38	H	SI1	Very Good	IGI	Lab Created	$240	View
Emerald	0.32	G	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.34	H	VS2	Good	IGI	Lab Created	$240	View
Pear	0.35	G	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.35	G	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.37	H	SI1	Good	IGI	Lab Created	$240	View
Emerald	0.30	E	SI1	Ideal	IGI	Lab Created	$240	View
Pear	0.30	G	VS1	Good	IGI	Lab Created	$240	View
Pear	0.31	F	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.34	H	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.35	H	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.37	H	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	G	VS2	Very Good	IGI	Lab Created	$240	View
Emerald	0.40	I	SI1	Good	IGI	Lab Created	$240	View
Oval	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Oval	0.32	D	SI2	Very Good	IGI	Lab Created	$240	View
Oval	0.32	H	VVS2	Super Ideal	IGI	Lab Created	$240	View
Pear	0.32	G	VS1	Very Good	IGI	Lab Created	$240	View
Pear	0.30	D	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.34	H	VS1	Very Good	IGI	Lab Created	$240	View
Pear	0.34	F	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS1	Very Good	IGI	Lab Created	$240	View
Oval	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.32	F	VS2	Good	IGI	Lab Created	$240	View
Oval	0.30	E	VS2	Ideal	IGI	Lab Created	$240	View
Oval	0.32	F	VS2	Very Good	IGI	Lab Created	$240	View
Oval	0.32	G	VS1	Super Ideal	IGI	Lab Created	$240	View
Oval	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.32	F	VS2	Very Good	IGI	Lab Created	$240	View
