,listID,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
194,196,1104 Rosa Ave,140000.0,2,1,1540,Mission,78572,TX,26.2156785045103,-98.3162666019682,"{'x': -98.3162666019682, 'y': 26.2156785045103, 'spatialReference': {'wkid': 4326}}"
195,197,602 Rio Grande Dr,249500.0,3,4,3029,Mission,78572,TX,26.1861679194904,-98.3017236565739,"{'x': -98.3017236565739, 'y': 26.1861679194904, 'spatialReference': {'wkid': 4326}}"
196,198,1806 Dolores Del Rio Ave,149900.0,4,3,1424,Mission,78572,TX,26.2288610492316,-98.3505522905011,"{'x': -98.3505522905011, 'y': 26.2288610492316, 'spatialReference': {'wkid': 4326}}"
197,199,1104 Frio St,293500.0,4,5,3684,Mission,78572,TX,26.1912623988938,-98.3009175976356,"{'x': -98.3009175976356, 'y': 26.1912623988938, 'spatialReference': {'wkid': 4326}}"
198,200,1811 Reagan St,79900.0,2,2,1063,Mission,78572,TX,26.2432038061252,-98.4065429877813,"{'x': -98.4065429877813, 'y': 26.2432038061252, 'spatialReference': {'wkid': 4326}}"
199,201,3004 Santa Lorena,225000.0,3,3,2103,Mission,78572,TX,26.1722815511694,-98.2902503034206,"{'x': -98.2902503034206, 'y': 26.1722815511694, 'spatialReference': {'wkid': 4326}}"
200,202,4104 San Rodrigo,177000.0,3,2,1934,Mission,78572,TX,26.1684826218034,-98.2873344938277,"{'x': -98.2873344938277, 'y': 26.1684826218034, 'spatialReference': {'wkid': 4326}}"
201,203,2011 Nicklaus Dr,102000.0,3,3,1390,Mission,78572,TX,26.2458578907626,-98.4092627920152,"{'x': -98.4092627920152, 'y': 26.2458578907626, 'spatialReference': {'wkid': 4326}}"
202,204,512 Rio Grande Dr,295000.0,4,4,3596,Mission,78572,TX,26.2171018327056,-98.3086527310801,"{'x': -98.3086527310801, 'y': 26.2171018327056, 'spatialReference': {'wkid': 4326}}"
203,205,5405 San Diego,197000.0,3,2,1694,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
204,206,1605 Palazzo,699000.0,4,4,5488,Mission,78572,TX,26.1880464827762,-98.305283807007,"{'x': -98.305283807007, 'y': 26.1880464827762, 'spatialReference': {'wkid': 4326}}"
205,207,7207 Bogey Dr,57900.0,1,1,575,Mission,78572,TX,26.2526855639108,-98.4086555894205,"{'x': -98.4086555894205, 'y': 26.2526855639108, 'spatialReference': {'wkid': 4326}}"
206,208,3102 Highland Ave,105000.0,4,2,1197,Mission,78572,TX,26.2387191,-98.3098037,"{'x': -98.3098037, 'y': 26.2387191, 'spatialReference': {'wkid': 4326}}"
207,209,2405 W Interstate Highway 2,155000.0,3,2,1870,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
208,210,2209 Red River Dr,385000.0,3,6,3599,Mission,78572,TX,26.184254769967,-98.2972285068375,"{'x': -98.2972285068375, 'y': 26.184254769967, 'spatialReference': {'wkid': 4326}}"
